attribute;value;rating;rating_count
Resolution;1280 × 800 px;;0.0
Resolution;1366 × 768 px;3.0;4.0
Resolution;1920 x 1080 px;4.0;2.0
Resolution;1920 × 1080 px;4.152475247524753;202.0
Resolution;1920 × 1200 px;;0.0
Resolution;2560 × 1440 px;4.0;2.0
Resolution;3840 × 2160 px;1.0;2.0
Resolution;4480 × 2520 px;4.0;3.0
Resolution;5120 × 2880 px;5.0;6.0
Panel type;IPS;4.132380952380952;210.0
Panel type;LED;3.0;1.0
Panel type;WVA;4.5;2.0
Processor series;AMD Athlon;3.5384615384615383;13.0
Processor series;AMD Ryzen;4.2;159.0
Processor series;AMD Ryzen 3;4.831578947368421;19.0
Processor series;AMD Ryzen 5;4.626190476190477;42.0
Processor series;AMD Ryzen 7;4.023076923076923;13.0
Processor series;AMD Ryzen 9;4.2;5.0
Processor series;AMLogic;5.0;3.0
Processor series;ARM;4.716666666666667;66.0
Processor series;ARMv8;4.9;226.0
Processor series;Apple Silicon;4.796825396825397;63.0
Processor series;Intel Celeron;4.055;40.0
Processor series;Intel Core i3;4.4546874999999995;64.0
Processor series;Intel Core i5;4.574107142857143;224.0
Processor series;Intel Core i7;4.248387096774193;124.0
Processor series;Intel Core i9;3.4066666666666667;15.0
Processor series;Intel N;4.0;1.0
Processor series;Intel Pentium;4.324137931034483;29.0
Processor series;Intel Xeon;3.0;1.0
Processor series;Intel Xeon E;;0.0
Processor series;Intel Xeon W;;0.0
Processor series;Qualcomm;;0.0
Processor series;Rockchip RK;5.0;1.0
Processor model;AMD Athlon 300GE;;0.0
Processor model;AMD Athlon Silver 3050U;3.5384615384615383;13.0
Processor model;AMD RYZEN 5 3600;4.733333333333333;18.0
Processor model;AMD RYZEN 7 3700X;5.0;1.0
Processor model;AMD Ryzen 3 3250U;4.870588235294118;17.0
Processor model;AMD Ryzen 3 5300G;5.0;1.0
Processor model;AMD Ryzen 3 5300U;;0.0
Processor model;AMD Ryzen 3 7320U;;0.0
Processor model;AMD Ryzen 3 7330U;4.0;1.0
Processor model;AMD Ryzen 3 PRO 4350G;;0.0
Processor model;AMD Ryzen 3 PRO 5350G;;0.0
Processor model;AMD Ryzen 5 3500U;;0.0
Processor model;AMD Ryzen 5 4600G;5.0;2.0
Processor model;AMD Ryzen 5 5500U;4.0;2.0
Processor model;AMD Ryzen 5 5600;5.0;4.0
Processor model;AMD Ryzen 5 5600G;4.2;5.0
Processor model;AMD Ryzen 5 5600H;5.0;1.0
Processor model;AMD Ryzen 5 5600X;;0.0
Processor model;AMD Ryzen 5 6600H;;0.0
Processor model;AMD Ryzen 5 7500F;4.025;4.0
Processor model;AMD Ryzen 5 7520U;5.0;1.0
Processor model;AMD Ryzen 5 7530U;4.0;1.0
Processor model;AMD Ryzen 5 7535H;;0.0
Processor model;AMD Ryzen 5 7600;5.0;1.0
Processor model;AMD Ryzen 5 7600X;5.0;1.0
Processor model;AMD Ryzen 5 PRO 3400G;;0.0
Processor model;AMD Ryzen 5 PRO 4650G;;0.0
Processor model;AMD Ryzen 5 PRO 5650G;;0.0
Processor model;AMD Ryzen 5 PRO 5650GE;5.0;2.0
Processor model;AMD Ryzen 7 2700x;;0.0
Processor model;AMD Ryzen 7 5700G;;0.0
Processor model;AMD Ryzen 7 5700U;;0.0
Processor model;AMD Ryzen 7 5700X;;0.0
Processor model;AMD Ryzen 7 5800H;5.0;1.0
Processor model;AMD Ryzen 7 5800X;3.6999999999999997;9.0
Processor model;AMD Ryzen 7 6800H;;0.0
Processor model;AMD Ryzen 7 7700;;0.0
Processor model;AMD Ryzen 7 7700X;;0.0
Processor model;AMD Ryzen 7 7730U;;0.0
Processor model;AMD Ryzen 7 7735H;;0.0
Processor model;AMD Ryzen 7 7800X3D;4.5;2.0
Processor model;AMD Ryzen 7 PRO 5750G;;0.0
Processor model;AMD Ryzen 9 5900HX;1.0;1.0
Processor model;AMD Ryzen 9 5900X;5.0;1.0
Processor model;AMD Ryzen 9 5950X;5.0;1.0
Processor model;AMD Ryzen 9 7900;;0.0
Processor model;AMD Ryzen 9 7950X;5.0;1.0
Processor model;AMD Ryzen 9 7950X3D;5.0;1.0
Processor model;AMD Ryzen Z1 Extreme Processor;4.2;106.0
Processor model;Apple M1;4.85;20.0
Processor model;Apple M1 ULTRA;;0.0
Processor model;Apple M2 (8-core);4.623076923076923;26.0
Processor model;Apple M2 MAX (12-core);5.0;2.0
Processor model;Apple M2 Pro (10-core);5.0;13.0
Processor model;Apple M2 Pro (12-core);5.0;2.0
Processor model;Apple M2 ULTRA (24-core);;0.0
Processor model;Apple M3 (8jádrové);;0.0
Processor model;Broadcom BCM2711;4.895161290322581;124.0
Processor model;Broadcom Quad-Core BCM2837B0;4.905882352941177;102.0
Processor model;Cortex-A53;3.0;2.0
Processor model;Cortex-A55;5.0;3.0
Processor model;Cortex-A7 Quad-Core;3.7142857142857144;7.0
Processor model;Cortex-A72;4.9;57.0
Processor model;Intel Celeron 5205U Comet Lake;1.0;2.0
Processor model;Intel Celeron 6305 Tiger Lake;;0.0
Processor model;Intel Celeron 7305;;0.0
Processor model;Intel Celeron 7305 Alder Lake;;0.0
Processor model;Intel Celeron J1900;;0.0
Processor model;Intel Celeron J4025 Gemini Lake Refresh;5.0;2.0
Processor model;Intel Celeron J4125;4.0;4.0
Processor model;Intel Celeron N4500;4.0;4.0
Processor model;Intel Celeron N4500 Jasper Lake;3.0;2.0
Processor model;Intel Celeron N4505 Jasper Lake;3.6666666666666665;6.0
Processor model;Intel Celeron N5100;4.8;4.0
Processor model;Intel Celeron N5100 Jasper Lake;3.75;4.0
Processor model;Intel Celeron N5105 Jasper Lake;4.545454545454546;11.0
Processor model;Intel Core i3 1005G1 Ice Lake;;0.0
Processor model;Intel Core i3 10100 Comet Lake;3.0;2.0
Processor model;Intel Core i3 10100T Comet Lake;4.6;34.0
Processor model;Intel Core i3 10105 Comet Lake;5.0;1.0
Processor model;Intel Core i3 10105T Comet Lake;;0.0
Processor model;Intel Core i3 10110U Comet Lake;3.8;11.0
Processor model;Intel Core i3 11100B Tiger Lake;4.5;2.0
Processor model;Intel Core i3 1115G4;;0.0
Processor model;Intel Core i3 1115G4 Tiger Lake;4.3;3.0
Processor model;Intel Core i3 12100 Alder Lake;5.0;7.0
Processor model;Intel Core i3 12100F Alder Lake;;0.0
Processor model;Intel Core i3 12100T Alder Lake;;0.0
Processor model;Intel Core i3 1215U Alder Lake;5.0;1.0
Processor model;Intel Core i3 1220P;;0.0
Processor model;Intel Core i3 1220P Alder Lake;;0.0
Processor model;Intel Core i3 1305U Raptor Lake;;0.0
Processor model;Intel Core i3 13100 Raptor Lake;;0.0
Processor model;Intel Core i3 13100T Raptor Lake;;0.0
Processor model;Intel Core i3 1315U Raptor Lake;4.666666666666667;3.0
Processor model;Intel Core i3 7100U Kaby Lake;;0.0
Processor model;Intel Core i3 N300;;0.0
Processor model;Intel Core i5 10210U Comet Lake;3.8;11.0
Processor model;Intel Core i5 1035G1 Ice Lake;;0.0
Processor model;Intel Core i5 10400F Comet Lake;4.688888888888889;9.0
Processor model;Intel Core i5 10400T Comet Lake;;0.0
Processor model;Intel Core i5 10500 Comet Lake;5.0;7.0
Processor model;Intel Core i5 10500T Comet Lake;2.3;10.0
Processor model;Intel Core i5 11320H;3.0;1.0
Processor model;Intel Core i5 1135G7 Tiger Lake;4.800000000000001;9.0
Processor model;Intel Core i5 11400 Rocket Lake;4.2;5.0
Processor model;Intel Core i5 11400F Rocket Lake;5.0;3.0
Processor model;Intel Core i5 11400T Rocket Lake;;0.0
Processor model;Intel Core i5 1145G7E Tiger Lake;;0.0
Processor model;Intel Core i5 11500B Tiger Lake;;0.0
Processor model;Intel Core i5 1235U Alder Lake;4.5;2.0
Processor model;Intel Core i5 12400 Alder Lake;4.746666666666667;15.0
Processor model;Intel Core i5 12400F Alder Lake;4.67843137254902;51.0
Processor model;Intel Core i5 12400T Alder Lake;5.0;3.0
Processor model;Intel Core i5 1240P;5.0;2.0
Processor model;Intel Core i5 1240P Alder Lake;;0.0
Processor model;Intel Core i5 12500 Alder Lake;5.0;1.0
Processor model;Intel Core i5 12500H;;0.0
Processor model;Intel Core i5 12500H Alder Lake;3.0;1.0
Processor model;Intel Core i5 12500T Alder Lake;4.0;1.0
Processor model;Intel Core i5 12600K Alder Lake;;0.0
Processor model;Intel Core i5 12600KF Alder Lake;;0.0
Processor model;Intel Core i5 12600T Alder Lake;;0.0
Processor model;Intel Core i5 1335U Raptor Lake;4.75;4.0
Processor model;Intel Core i5 13400 Raptor Lake;4.666666666666667;3.0
Processor model;Intel Core i5 13400F Raptor Lake;4.888235294117647;34.0
Processor model;Intel Core i5 13400F Rocket Lake;5.0;5.0
Processor model;Intel Core i5 13400T Raptor Lake;5.0;1.0
Processor model;Intel Core i5 1340P Raptor Lake;4.0;7.0
Processor model;Intel Core i5 13420H Raptor Lake;;0.0
Processor model;Intel Core i5 13500 Raptor Lake;;0.0
Processor model;Intel Core i5 13500H Raptor Lake;;0.0
Processor model;Intel Core i5 13500T Raptor Lake;;0.0
Processor model;Intel Core i5 13600K Raptor Lake;5.0;4.0
Processor model;Intel Core i5 13600KF Raptor Lake;5.0;3.0
Processor model;Intel Core i5 13600KF Rocket Lake;4.0;2.0
Processor model;Intel Core i5 14600KF Raptor Lake Refresh;5.0;1.0
Processor model;Intel Core i5 8365U Whiskey Lake;;0.0
Processor model;Intel Core i5 8365UE Whiskey Lake;;0.0
Processor model;Intel Core i5 8500B Coffee Lake;4.8;28.0
Processor model;Intel Core i5 9400 Coffee Lake;5.0;1.0
Processor model;Intel Core i7 10510U Comet Lake;;0.0
Processor model;Intel Core i7 10700 Comet Lake;4.5;7.0
Processor model;Intel Core i7 10700F;;0.0
Processor model;Intel Core i7 10700F Comet Lake;3.9066666666666663;30.0
Processor model;Intel Core i7 10700K Comet Lake;5.0;1.0
Processor model;Intel Core i7 1165G7 Tiger Lake;5.0;22.0
Processor model;Intel Core i7 11700 Rocket Lake;2.3;6.0
Processor model;Intel Core i7 11700F Rocket Lake;;0.0
Processor model;Intel Core i7 11700KF Rocket Lake;3.5;6.0
Processor model;Intel Core i7 11700T Rocket lake;4.0;1.0
Processor model;Intel Core i7 1260P;5.0;3.0
Processor model;Intel Core i7 1260P Alder Lake;5.0;3.0
Processor model;Intel Core i7 12700 Alder Lake;2.0;4.0
Processor model;Intel Core i7 12700F Alder Lake;5.0;2.0
Processor model;Intel Core i7 12700H;;0.0
Processor model;Intel Core i7 12700H Alder Lake;5.0;5.0
Processor model;Intel Core i7 12700K Alder Lake;5.0;1.0
Processor model;Intel Core i7 12700KF Alder Lake;1.0;1.0
Processor model;Intel Core i7 12700T Alder Lake;;0.0
Processor model;Intel Core i7 1355U Raptor Lake;5.0;2.0
Processor model;Intel Core i7 1360P Raptor Lake;;0.0
Processor model;Intel Core i7 13620H Raptor Lake;;0.0
Processor model;Intel Core i7 13700 Raptor Lake;4.0;1.0
Processor model;Intel Core i7 13700F Raptor Lake;4.666666666666667;3.0
Processor model;Intel Core i7 13700H Raptor Lake;;0.0
Processor model;Intel Core i7 13700K Raptor Lake;;0.0
Processor model;Intel Core i7 13700KF Raptor Lake;5.0;2.0
Processor model;Intel Core i7 13700KF Rocket Lake;3.35;6.0
Processor model;Intel Core i7 13700T Raptor Lake;;0.0
Processor model;Intel Core i7 8665UE Whiskey Lake;;0.0
Processor model;Intel Core i7 8700B Coffee Lake;4.8;14.0
Processor model;Intel Core i7 9700F Coffee Lake;5.0;4.0
Processor model;Intel Core i7 9700KF Coffee Lake;;0.0
Processor model;Intel Core i9 10900 Comet Lake;;0.0
Processor model;Intel Core i9 10900KF;;0.0
Processor model;Intel Core i9 10900KF Comet Lake;;0.0
Processor model;Intel Core i9 10910 Comet Lake;;0.0
Processor model;Intel Core i9 10920X Cascade Lake;;0.0
Processor model;Intel Core i9 10980XE Cascade Lake;;0.0
Processor model;Intel Core i9 11900F Rocket Lake;3.0;6.0
Processor model;Intel Core i9 11900KB Tiger Lake;;0.0
