;id;Display -> Display size;Display -> Display refresh rate;Display -> Luminosity;Processor -> Number of processor cores;Processor -> Processor frequency;Processor -> Core boost frequency;Processor -> TDP;Processor -> Cache processor;Memory -> Size of operational RAM;Memory -> Memory frequency;Memory -> Number of installed slots;Memory -> Total number of slots;Memory -> Intel Optane;Graphics card -> Graphics card memory;Graphics card -> Maximum Graphic Power (TGP);Graphics card -> Boost clock;Graphics card -> Number of stream processors;Graphics card -> GPU Passmark;Hard drive -> Storage capacity;Hard drive -> HDD capacity;Hard drive -> SSD capacity;Hard drive -> Number of occupied slots M.2;Hard drive -> Slots in total M.2;"Hard drive -> Number of occupied slots 2.5""";"Hard drive -> Slots in total 2.5""";Hard drive -> Number of free slots;Battery -> Battery capacity;Battery -> Charging power;Battery -> Maximum battery capacity;Battery -> Number of cells;Battery -> Standby time;Weight -> Weight;Interface -> USB-C;Interface -> USB 3.2 Gen 1 (USB 3.0);Interface -> Thunderbolt / USB 4;Interface -> USB 3.2 Gen 2;Interface -> USB 2.0;Interface -> USB 3.2 Gen 2x2;Dimensions -> Width;Dimensions -> Maximum height;Dimensions -> Depth;Unnamed: 42;Price;Price without VAT
0;0;15.6;60.0;300.0;6.0;2.3;4.3;15.0;16.0;8.0;3200.0;0.0;1.0;;;;;;;512.0;;512.0;1.0;2.0;;;;45.0;65.0;8.0;;;1.7;2.0;2.0;;;;;357.0;18.9;235.0;;16490.0;13628.0
1;1;16.0;240.0;500.0;24.0;2.2;5.4;55.0;36.0;32.0;5600.0;2.0;2.0;;8.0;140.0;2370.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;80.0;300.0;6.5;;;2.55;2.0;4.0;;;;;363.4;26.75;260.35;;43989.0;36355.0
2;2;13.0;;;10.0;;4.7;55.0;12.0;16.0;;;;;;;;;;512.0;;512.0;;;;;;47.7;;;4.0;;0.9;2.0;;;;;;287.0;9.3;208.0;;42490.0;35116.0
3;3;16.0;60.0;;14.0;2.6;5.4;45.0;24.0;32.0;5200.0;2.0;2.0;;8.0;105.0;1980.0;;;2000.0;;2000.0;1.0;2.0;;;;99.9;240.0;4.0;4.0;;1.88;1.0;;1.0;1.0;;;355.8;19.95;259.7;;61990.0;51231.0
4;4;133.0;;;8.0;;;;4.0;8.0;;;;;;;;;;256.0;;256.0;;;;;;50.0;;;;18.0;125.0;2.0;;;;;;304.0;161.0;212.0;;23490.0;19413.0
5;5;15.6;60.0;;4.0;2.4;4.1;15.0;4.0;8.0;;;;;;;;;;256.0;;;1.0;1.0;;;;40.0;45.0;;3.0;;1.78;1.0;2.0;;;;;362.9;18.9;237.5;;7990.0;6603.0
6;6;17.3;60.0;300.0;10.0;1.2;4.7;55.0;12.0;8.0;3200.0;;;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;45.0;65.0;8.1;;;2.2;1.0;1.0;;;1.0;;399.0;19.9;274.0;;19890.0;16438.0
7;7;15.6;60.0;250.0;4.0;2.8;4.3;15.0;4.0;8.0;4800.0;;;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;38.0;65.0;14.4;;;1.65;1.0;2.0;;;;;359.2;19.9;235.8;;13489.0;11148.0
8;8;15.6;60.0;250.0;4.0;2.4;4.1;15.0;4.0;8.0;4800.0;;0.0;;;;;;;256.0;;256.0;1.0;1.0;0.0;0.0;;38.0;65.0;14.4;;;1.65;1.0;2.0;;;;;359.2;19.9;235.8;;13989.0;11561.0
9;9;15.6;144.0;250.0;8.0;3.4;4.6;45.0;12.0;16.0;;2.0;2.0;;4.0;;;;;1000.0;;1000.0;1.0;2.0;;;;57.0;135.0;5.0;4.0;;2.11;;3.0;1.0;;;;362.3;23.5;239.89;;18990.0;15694.0
10;10;13.3;60.0;;2.0;1.1;2.4;6.0;;4.0;2400.0;;;;;;;;;128.0;;;;1.0;;;;38.0;24.0;8.0;;;1.5;2.0;;;;;;305.0;15.0;210.0;;5990.0;4950.0
11;11;15.6;60.0;250.0;10.0;0.9;4.6;15.0;12.0;16.0;3200.0;2.0;2.0;;;;;;;1000.0;;1000.0;1.0;1.0;;;;42.0;45.0;10.75;3.0;;1.74;2.0;2.0;;;;;359.4;19.9;233.9;;21990.0;18174.0
12;12;15.6;60.0;250.0;10.0;0.9;4.4;55.0;12.0;8.0;3200.0;;;;;;;;;512.0;;512.0;1.0;1.0;0.0;1.0;;38.0;65.0;6.85;;;1.7;1.0;1.0;;;1.0;;359.0;19.9;236.0;;12389.0;10239.0
13;13;15.6;60.0;250.0;10.0;0.9;4.4;55.0;12.0;8.0;3200.0;0.0;1.0;;;;;;;256.0;;256.0;1.0;1.0;0.0;1.0;;38.0;65.0;6.85;;;1.7;1.0;1.0;;;1.0;;359.0;19.9;236.0;;13490.0;11149.0
14;14;15.6;144.0;250.0;6.0;2.7;4.5;35.0;12.0;16.0;3200.0;2.0;2.0;;4.0;70.0;1625.0;;;512.0;;512.0;1.0;2.0;0.0;0.0;;48.0;150.0;;3.0;;2.3;;3.0;1.0;;;;359.0;24.5;256.0;;16990.0;14041.0
15;15;11.6;60.0;;2.0;1.1;2.8;6.0;4.0;4.0;2400.0;;;;;;;;;128.0;;;0.0;1.0;;;;30.0;24.0;6.0;;;1.0;1.0;1.0;;;1.0;;280.0;15.0;195.0;;3490.0;2884.0
16;16;15.6;60.0;400.0;4.0;2.8;4.3;15.0;4.0;8.0;5500.0;0.0;0.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;50.0;65.0;;3.0;;1.63;1.0;1.0;;;1.0;;360.3;17.9;232.5;;13490.0;11149.0
17;17;15.6;60.0;250.0;10.0;1.3;4.4;15.0;10.0;16.0;3200.0;1.0;1.0;;;;;;;512.0;;512.0;1.0;1.0;;;;42.0;45.0;10.0;3.0;;1.7;1.0;2.0;;;1.0;;359.7;17.9;232.5;;14990.0;12388.0
18;18;14.0;;;6.0;2.1;4.0;15.0;8.0;8.0;;0.0;0.0;;;;;;;512.0;;512.0;1.0;1.0;;;;48.0;65.0;12.5;3.0;;1.2;1.0;2.0;;;;;322.8;15.95;212.2;;12990.0;10736.0
19;19;15.6;120.0;250.0;4.0;3.2;4.5;35.0;8.0;16.0;3200.0;2.0;2.0;;4.0;90.0;1740.0;;;512.0;;512.0;1.0;2.0;0.0;1.0;;45.0;170.0;8.0;;;2.25;1.0;2.0;;;;;359.6;24.2;251.9;;17989.0;14867.0
20;20;15.6;;250.0;6.0;3.3;4.5;;10.0;8.0;3200.0;1.0;2.0;;;;;;;512.0;;512.0;;;;;;;45.0;;3.0;;1.52;1.0;2.0;;;;;360.0;18.6;236.0;;10990.0;9083.0
21;21;16.0;60.0;300.0;8.0;2.0;4.4;45.0;12.0;16.0;4800.0;0.0;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;;;;75.4;65.0;12.9;;;1.89;2.0;2.0;;;;;356.0;16.9;251.0;;19499.0;16115.0
22;22;15.6;;250.0;6.0;2.1;4.0;;8.0;16.0;3200.0;2.0;;;;;;;;512.0;;512.0;;;;;;41.0;45.0;9.5;3.0;;1.69;1.0;2.0;;;;;358.5;17.9;242.0;;14990.0;12388.0
23;23;15.6;60.0;250.0;10.0;1.3;4.4;15.0;10.0;16.0;3200.0;1.0;1.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;42.0;45.0;10.0;3.0;;1.7;1.0;2.0;;;1.0;;359.7;17.9;232.5;;14490.0;11975.0
24;24;133.0;;;8.0;;;;4.0;8.0;3733.0;;;;;;;;;256.0;;256.0;;;;;;50.0;;;;18.0;125.0;2.0;;;;;;304.0;156.0;212.0;;23490.0;19413.0
25;25;15.6;60.0;250.0;4.0;1.0;3.4;6.0;6.0;4.0;3200.0;1.0;;;;;;;;128.0;;128.0;;;;;;41.0;45.0;7.5;3.0;;1.59;1.0;2.0;;;;;359.8;18.6;236.0;;6990.0;5777.0
26;26;15.6;;600.0;10.0;;4.4;55.0;12.0;16.0;;1.0;1.0;;;;;;;512.0;;512.0;;;;;;50.0;65.0;;3.0;;1.7;1.0;2.0;;;1.0;;350.0;20.0;300.0;;15990.0;13215.0
27;27;11.5;60.0;400.0;4.0;1.0;3.7;6.0;6.0;8.0;4800.0;;0.0;;;;;;;128.0;;128.0;1.0;1.0;;;;35.6;45.0;;;;1.14;2.0;;;;;;271.3;8.95;172.0;;14990.0;12388.0
28;28;15.6;120.0;250.0;6.0;2.1;4.0;15.0;8.0;8.0;3200.0;1.0;2.0;;;;;;;256.0;;256.0;1.0;1.0;;;;41.0;65.0;;3.0;;1.68;;2.0;;;1.0;;358.5;19.0;235.6;;11490.0;9496.0
29;29;133.0;;;8.0;;;;4.0;8.0;3733.0;;;;;;;;;256.0;;256.0;;;;;;50.0;;;;18.0;125.0;2.0;;;;;;304.0;156.0;212.0;;23490.0;19413.0
30;30;15.6;60.0;250.0;4.0;2.4;4.1;15.0;4.0;8.0;3200.0;;;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;42.0;45.0;;3.0;;1.63;1.0;1.0;;;1.0;;360.3;17.9;232.5;;9990.0;8256.0
31;31;14.0;90.0;400.0;8.0;2.7;4.7;28.0;16.0;16.0;6400.0;0.0;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;71.0;65.0;15.5;;;1.49;2.0;1.0;;;;;317.87;16.49;222.5;;26790.0;22140.0
32;32;15.6;60.0;300.0;4.0;2.5;4.5;28.0;8.0;8.0;3200.0;1.0;1.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;45.0;65.0;12.0;;;1.65;1.0;1.0;;;1.0;;359.2;19.9;236.5;;12990.0;10736.0
33;33;15.6;60.0;250.0;10.0;0.9;4.6;15.0;12.0;8.0;3200.0;1.0;1.0;;;;;;;512.0;;512.0;1.0;1.0;;;;;45.0;;3.0;;1.52;1.0;2.0;;;;;360.0;18.6;236.0;;13490.0;11149.0
34;34;15.6;120.0;250.0;8.0;1.5;4.4;45.0;12.0;16.0;3200.0;2.0;2.0;;4.0;85.0;1740.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;60.0;170.0;7.7;;;2.31;;2.0;1.0;;;;359.6;21.8;266.4;;19989.0;16520.0
35;35;15.6;60.0;;2.0;3.0;4.1;28.0;6.0;16.0;;;0.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;1.0;;36.0;45.0;9.5;2.0;;1.94;;2.0;;;1.0;;363.4;19.9;238.4;;11690.0;9661.0
36;36;15.6;60.0;300.0;10.0;1.7;4.7;45.0;24.0;32.0;;2.0;2.0;;;;;;;1000.0;;1000.0;1.0;2.0;;;;50.0;90.0;;3.0;;1.76;;3.0;1.0;;;;362.9;17.9;237.8;;21990.0;18174.0
37;37;14.0;60.0;250.0;6.0;1.2;4.4;15.0;10.0;8.0;3200.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;1.0;;48.0;65.0;;3.0;;1.6;1.0;1.0;1.0;;1.0;;339.5;20.0;239.9;;11790.0;9744.0
38;38;15.6;60.0;300.0;6.0;2.3;4.3;15.0;16.0;8.0;3200.0;;;;;;;;;512.0;;512.0;1.0;1.0;0.0;1.0;;57.0;65.0;13.6;;;1.85;2.0;2.0;;;;;356.67;16.9;233.13;;14990.0;12388.0
39;39;15.6;120.0;250.0;4.0;3.2;4.5;35.0;8.0;8.0;3200.0;1.0;2.0;;4.0;90.0;1740.0;;;512.0;;512.0;1.0;2.0;0.0;1.0;;45.0;170.0;8.0;;;2.25;1.0;2.0;;;;;359.6;24.2;251.9;;17989.0;14867.0
40;40;15.6;60.0;250.0;6.0;2.1;4.0;15.0;8.0;8.0;3200.0;1.0;2.0;;;;;;;256.0;;256.0;1.0;;;;;41.0;45.0;10.0;3.0;;1.74;1.0;2.0;;;;;358.0;19.9;242.0;;9990.0;8256.0
41;41;15.6;60.0;300.0;10.0;0.9;4.4;55.0;12.0;16.0;3200.0;1.0;1.0;;;;;;;512.0;;512.0;1.0;2.0;;;;45.0;65.0;8.0;;;1.7;1.0;2.0;1.0;;;;357.0;18.9;235.0;;17990.0;14868.0
42;42;10.51;;;2.0;1.1;3.4;5.0;4.0;8.0;;;;;;;;;;128.0;;128.0;;;;;;26.8;24.0;11.0;2.0;;0.54;1.0;;;;;;245.0;8.3;175.0;;14590.0;12058.0
43;43;11.5;60.0;400.0;4.0;1.0;3.7;6.0;6.0;8.0;4800.0;;0.0;;;;;;;128.0;;128.0;1.0;1.0;;;;35.6;45.0;;;;1.14;2.0;;;;;;271.3;8.95;172.0;;13490.0;11149.0
44;44;13.6;;500.0;8.0;;;;4.0;8.0;;;;;;;;;;256.0;;256.0;;;;;;53.0;;18.0;;;1.24;2.0;;2.0;;;;304.0;11.3;215.0;;29990.0;24785.0
45;45;15.6;60.0;250.0;4.0;;3.4;6.0;6.0;4.0;3200.0;1.0;;;;;;;;128.0;;128.0;;;;;;;45.0;7.5;3.0;;1.59;1.0;2.0;;;;;359.8;18.6;236.0;;6990.0;5777.0
46;46;15.6;60.0;250.0;10.0;1.8;5.2;55.0;12.0;16.0;3200.0;2.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;0.0;;54.0;65.0;;3.0;;1.61;;2.0;2.0;;;;357.8;22.8;233.3;;34490.0;28504.0
47;47;15.6;120.0;250.0;6.0;1.2;4.4;15.0;10.0;8.0;2666.0;1.0;2.0;;;;;;;256.0;;256.0;1.0;1.0;;;;41.0;65.0;;3.0;;1.83;;2.0;;;1.0;;358.5;18.99;235.56;;13890.0;11479.0
48;48;13.3;60.0;400.0;8.0;2.55;;;;8.0;3200.0;;;;;;;;;128.0;;;0.0;0.0;0.0;0.0;;;30.0;15.5;;;1.02;2.0;;;;;;305.86;7.23;186.74;;13199.0;10908.0
49;49;15.6;144.0;250.0;14.0;2.3;4.7;;24.0;16.0;3200.0;2.0;2.0;;8.0;140.0;;;;512.0;;512.0;1.0;2.0;0.0;0.0;;90.0;240.0;;4.0;;2.2;1.0;2.0;1.0;;;;354.0;24.9;251.0;;27990.0;23132.0
50;50;15.6;;250.0;4.0;2.4;4.1;;4.0;8.0;3200.0;;;;;;;;;512.0;;512.0;;;;;;;45.0;;3.0;;1.52;1.0;2.0;;;;;360.0;18.6;236.0;;10490.0;8669.0
51;51;14.0;60.0;400.0;6.0;2.9;4.55;28.0;16.0;16.0;6400.0;;0.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;71.0;65.0;19.0;;;1.49;3.0;1.0;;;;;317.87;16.49;222.5;;19989.0;16520.0
52;52;14.0;60.0;;6.0;33.0;45.0;15.0;10.0;16.0;3200.0;0.0;0.0;;;;;;;256.0;;256.0;1.0;1.0;;;;393.0;65.0;;3.0;;14.0;1.0;;;1.0;2.0;;320.0;1935.0;223.0;;12490.0;10322.0
53;53;15.6;;;4.0;2.7;4.1;15.0;8.0;16.0;;2.0;2.0;;;;;;;512.0;;512.0;1.0;2.0;;;;50.0;65.0;9.5;3.0;;1.77;1.0;3.0;;;;;362.9;17.9;237.8;;13990.0;11562.0
54;54;153.0;;500.0;8.0;;;;;8.0;;;;;;;;;;;;256.0;;;;;;665.0;35.0;;;18.0;151.0;2.0;;1.0;;;;3404.0;115.0;2376.0;;34990.0;28917.0
55;55;15.6;60.0;300.0;4.0;2.4;4.1;15.0;4.0;8.0;5500.0;0.0;0.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;47.0;65.0;14.0;;;1.62;1.0;2.0;;;;;359.3;17.9;235.0;;11990.0;9909.0
56;56;15.6;60.0;600.0;6.0;2.0;4.3;64.0;16.0;16.0;3200.0;1.0;1.0;;;;;;;512.0;;512.0;1.0;1.0;;;;50.0;65.0;;3.0;;1.6;1.0;2.0;;;1.0;;359.7;17.9;232.5;;16990.0;14041.0
57;57;14.0;;;8.0;;3.8;15.0;6.0;8.0;;;;;;;;;;512.0;;512.0;1.0;1.0;;;;40.0;45.0;9.5;3.0;;1.54;1.0;2.0;;;;;319.8;18.9;227.9;;14790.0;12223.0
58;58;14.0;60.0;250.0;2.0;3.0;4.1;28.0;6.0;8.0;2666.0;1.0;2.0;;;;;;;256.0;;256.0;1.0;1.0;;;;41.0;65.0;;3.0;;1.49;;1.0;;;1.0;;321.27;19.48;220.26;;12290.0;10157.0
59;59;15.6;144.0;250.0;8.0;3.2;4.7;54.0;16.0;16.0;4800.0;2.0;2.0;;8.0;140.0;2420.0;;;512.0;;512.0;1.0;2.0;0.0;0.0;;90.0;240.0;;4.0;;2.2;2.0;2.0;;;;;354.0;24.9;251.0;;28490.0;23545.0
60;60;13.3;;;8.0;;2.4;;;8.0;;0.0;0.0;;;;;;;64.0;;;;;;;;36.0;45.0;14.0;2.0;;1.13;4.0;1.0;;;;;310.0;15.55;209.4;;8990.0;7430.0
61;61;17.3;60.0;250.0;6.0;1.2;4.5;15.0;10.0;8.0;3200.0;0.0;1.0;;;;;;;256.0;;256.0;1.0;1.0;0.0;0.0;;50.0;45.0;10.0;3.0;;2.1;1.0;2.0;;;1.0;;399.3;19.9;254.3;;12990.0;10736.0
62;62;15.6;120.0;250.0;10.0;1.3;4.4;15.0;12.0;8.0;2666.0;1.0;2.0;;;;;;;256.0;;256.0;1.0;1.0;;;;41.0;65.0;;3.0;;1.9;;2.0;;;1.0;;358.5;18.99;235.56;;14990.0;12388.0
63;63;15.6;60.0;250.0;4.0;2.4;4.2;28.0;6.0;8.0;2400.0;;;;;;;;;512.0;;512.0;1.0;;;;;42.0;;6.3;3.0;;1.53;1.0;1.0;;;2.0;;357.8;16.9;229.9;;12990.0;10736.0
64;64;15.6;120.0;250.0;4.0;3.2;4.5;35.0;8.0;8.0;3200.0;1.0;2.0;;4.0;;;;;512.0;;512.0;1.0;2.0;0.0;1.0;;45.0;135.0;8.0;;;2.25;1.0;2.0;;;;;359.6;24.2;251.9;;15499.0;12809.0
65;65;15.6;60.0;250.0;10.0;1.3;4.4;15.0;12.0;8.0;3200.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;;;41.0;45.0;9.75;3.0;;1.74;1.0;2.0;;;;;358.0;19.9;242.0;;11990.0;9909.0
66;66;15.6;120.0;250.0;10.0;1.3;4.4;15.0;12.0;16.0;2666.0;2.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;;;41.0;65.0;;3.0;;1.83;;2.0;;;1.0;;358.5;18.99;235.56;;17990.0;14868.0
67;67;15.6;60.0;250.0;6.0;0.9;4.4;15.0;10.0;8.0;;;;;;;;;;512.0;;512.0;1.0;1.0;;;;42.0;65.0;;3.0;;1.73;;;1.0;2.0;1.0;;358.0;19.4;236.5;;14390.0;11893.0
68;68;13.3;60.0;400.0;8.0;2.55;;;;8.0;2133.0;;0.0;;;;;;;128.0;;;0.0;0.0;0.0;0.0;;42.0;30.0;15.5;;;1.02;2.0;;;;;;305.86;7.23;186.74;;13199.0;10908.0
69;69;15.6;120.0;250.0;8.0;1.5;4.4;95.0;12.0;16.0;3200.0;2.0;2.0;;4.0;85.0;1740.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;60.0;170.0;7.7;;;2.31;;2.0;1.0;;;;359.6;21.8;266.4;;24199.0;19999.0
70;70;15.6;60.0;300.0;8.0;1.5;4.4;45.0;12.0;8.0;4800.0;;0.0;;;;;;;512.0;;512.0;1.0;1.0;;;;47.0;65.0;;;;1.62;1.0;2.0;;;;;359.3;17.9;235.0;;10199.0;8429.0
71;71;15.6;60.0;300.0;8.0;2.0;4.5;15.0;16.0;16.0;3200.0;;0.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;1.0;;57.0;65.0;13.6;;;1.85;2.0;2.0;;;;;356.67;16.9;233.13;;17989.0;14867.0
72;72;15.6;60.0;400.0;4.0;2.8;4.3;15.0;4.0;8.0;5500.0;;;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;50.0;65.0;;3.0;;1.63;1.0;1.0;;;1.0;;360.3;17.9;232.5;;13490.0;11149.0
73;73;15.6;120.0;250.0;4.0;2.7;4.1;15.0;8.0;8.0;3200.0;1.0;2.0;;;;;;;256.0;;256.0;1.0;1.0;;1.0;;41.0;65.0;;3.0;;1.83;1.0;1.0;;;1.0;;358.5;21.07;235.56;;12790.0;10570.0
74;74;15.6;144.0;250.0;8.0;3.3;4.4;45.0;12.0;16.0;;2.0;3.0;;8.0;140.0;2350.0;;;1000.0;;1000.0;1.0;1.0;;1.0;;57.0;230.0;4.5;4.0;;2.6;;1.0;1.0;2.0;;;360.4;25.9;271.09;;27290.0;22554.0
75;75;14.1;60.0;;4.0;1.1;2.4;6.0;;4.0;2400.0;;;;;;;;;128.0;;;;1.0;;;;;24.0;8.0;;;1.5;2.0;;;;;;322.0;15.0;220.0;;7490.0;6190.0
76;76;16.0;60.0;350.0;6.0;3.3;4.5;35.0;16.0;16.0;6400.0;0.0;0.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;75.0;100.0;22.97;;;1.92;2.0;2.0;;;;;356.0;16.9;251.0;;21989.0;18173.0
77;77;16.0;60.0;300.0;8.0;1.5;4.4;45.0;12.0;16.0;4800.0;0.0;0.0;;;;;;;512.0;;512.0;1.0;1.0;;;;47.0;65.0;11.6;;;1.74;1.0;2.0;;;;;359.2;18.4;257.0;;14990.0;12388.0
78;78;14.0;60.0;;6.0;2.0;4.5;15.0;16.0;16.0;3200.0;0.0;0.0;;;;;;;512.0;;512.0;1.0;1.0;;;;39.3;65.0;6.0;3.0;;1.4;1.0;;;1.0;2.0;;319.9;19.35;223.0;;14990.0;12388.0
79;79;15.6;144.0;250.0;6.0;2.7;4.5;45.0;12.0;16.0;3200.0;2.0;2.0;;4.0;70.0;;;;512.0;;512.0;1.0;2.0;0.0;0.0;;48.0;150.0;;3.0;;2.3;;3.0;1.0;;;;359.0;24.5;256.0;;15990.0;13215.0
80;80;15.6;60.0;250.0;8.0;1.8;3.8;15.0;6.0;8.0;3200.0;;0.0;;;;;;;256.0;;256.0;1.0;1.0;0.0;0.0;;42.0;45.0;;3.0;;1.63;1.0;1.0;;;1.0;;360.3;17.9;232.5;;9490.0;7843.0
81;81;15.6;60.0;250.0;6.0;2.0;4.5;15.0;16.0;16.0;3200.0;2.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;;;42.0;45.0;14.5;3.0;;1.74;1.0;3.0;;;;;359.4;19.9;233.9;;17990.0;14868.0
82;82;15.6;60.0;250.0;4.0;2.8;4.3;15.0;4.0;8.0;4800.0;;0.0;;;;;;;256.0;;256.0;1.0;1.0;0.0;0.0;;38.0;65.0;14.4;;;1.65;1.0;2.0;;;;;359.2;19.9;235.8;;12390.0;10240.0
83;83;16.0;60.0;300.0;2.0;3.0;4.1;;6.0;8.0;;;;;;;;;;256.0;;256.0;;;;;;42.0;45.0;;3.0;;1.88;1.0;2.0;;;1.0;;358.9;19.9;249.5;;12490.0;10322.0
84;84;15.6;144.0;;10.0;;4.7;45.0;24.0;16.0;4800.0;2.0;2.0;;8.0;105.0;;;;1000.0;;1000.0;1.0;2.0;;;;53.5;200.0;;3.0;;2.25;1.0;2.0;;;1.0;;359.0;24.9;259.0;;29490.0;24372.0
85;85;15.6;60.0;250.0;8.0;1.8;3.8;15.0;6.0;8.0;3200.0;;;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;42.0;45.0;;3.0;;1.63;1.0;1.0;;;1.0;;360.3;17.9;232.5;;9990.0;8256.0
86;86;14.0;90.0;400.0;12.0;1.6;5.0;28.0;18.0;16.0;5200.0;;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;71.0;65.0;16.5;;;1.49;;1.0;2.0;;;;317.87;16.49;222.5;;32989.0;27264.0
87;87;15.6;120.0;250.0;6.0;2.1;4.0;15.0;8.0;8.0;2400.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;;;41.0;65.0;;3.0;;1.83;;2.0;;;1.0;;358.5;19.0;235.6;;14390.0;11893.0
88;88;15.6;60.0;;4.0;2.8;4.3;15.0;4.0;8.0;;;0.0;;;;;;;512.0;;512.0;1.0;1.0;;;;40.0;45.0;9.0;3.0;;1.78;1.0;2.0;;;;;362.9;18.9;237.5;;12990.0;10736.0
89;89;13.6;;500.0;8.0;;;;4.0;8.0;;;;;;;;;;512.0;;512.0;;;;;;53.0;;18.0;;;1.24;2.0;;2.0;;;;304.0;11.3;215.0;;36990.0;30570.0
90;90;15.6;60.0;250.0;6.0;0.9;4.4;55.0;10.0;8.0;3200.0;1.0;1.0;;;;;;;256.0;;256.0;1.0;1.0;0.0;1.0;;38.0;65.0;6.85;;;1.7;1.0;1.0;;;1.0;;359.0;19.9;236.0;;11990.0;9909.0
91;91;156.0;60.0;600.0;14.0;;5.0;45.0;24.0;16.0;;;;;4.0;35.0;1150.0;;;1000.0;;1000.0;1.0;1.0;;;;70.0;3.0;;;;17.0;;1.0;1.0;;1.0;;3593.0;179.0;2294.0;;26990.0;22306.0
92;92;15.6;60.0;250.0;6.0;2.1;4.0;25.0;8.0;16.0;3200.0;2.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;;;41.0;45.0;9.5;3.0;;1.69;1.0;2.0;;;;;358.5;17.9;242.0;;14990.0;12388.0
93;93;15.6;60.0;250.0;10.0;3.3;4.4;55.0;12.0;8.0;3200.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;;;;;41.0;45.0;9.75;3.0;;1.74;1.0;2.0;;;;;358.0;19.9;242.0;;12990.0;10736.0
94;94;16.0;240.0;500.0;14.0;1.8;5.0;45.0;24.0;16.0;5200.0;2.0;2.0;;8.0;125.0;2370.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;80.0;230.0;8.9;;;2.4;2.0;;;2.0;;;359.7;25.2;260.3;;40989.0;33875.0
95;95;15.6;60.0;300.0;4.0;0.8;3.4;6.0;6.0;4.0;4800.0;;0.0;;;;;;;128.0;;128.0;1.0;1.0;0.0;0.0;;47.0;65.0;;;;1.55;1.0;2.0;;;;;359.3;17.9;235.0;;8490.0;7017.0
96;96;15.6;60.0;250.0;4.0;2.4;4.2;28.0;8.0;8.0;3200.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;;;;45.0;12.5;3.0;;1.74;1.0;3.0;;;;;359.4;19.9;233.9;;17990.0;14868.0
97;97;14.0;60.0;300.0;4.0;2.3;4.3;15.0;8.0;8.0;4266.0;;0.0;;;;;;;256.0;;256.0;1.0;1.0;0.0;0.0;;52.5;65.0;15.0;;;1.55;1.0;2.0;;;;;313.1;17.8;224.9;;14989.0;12388.0
98;98;15.6;60.0;400.0;4.0;2.8;4.3;15.0;4.0;8.0;5500.0;;;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;50.0;65.0;;3.0;;1.63;1.0;1.0;;;1.0;;360.3;17.9;232.5;;14990.0;12388.0
99;99;17.3;144.0;250.0;8.0;3.3;4.4;45.0;12.0;16.0;;2.0;2.0;;8.0;140.0;2350.0;;;1000.0;;1000.0;1.0;2.0;;;;90.0;280.0;5.5;4.0;;3.0;;1.0;1.0;2.0;;;400.5;27.9;294.48;;29490.0;24372.0
100;100;11.5;60.0;400.0;4.0;0.8;3.4;6.0;6.0;8.0;4800.0;;;;;;;;;128.0;;128.0;1.0;1.0;;;;35.6;45.0;12.5;;;1.14;2.0;;;;;;271.3;8.95;172.0;;11990.0;9909.0
