attribute;value;rating;rating_count
Assembly type;['All-in-one PC'];3.9193548387096775;62.0
Assembly type;['Configurable (Barebone)'];4.2;146.0
Assembly type;['Gaming'];4.314000000000001;400.0
Assembly type;['Mini PC', 'Configurable (Barebone)'];4.8;14.0
Assembly type;['Mini PC'];4.736363636363637;550.0
Assembly type;['Office'];4.323943661971831;71.0
Assembly type;['Performance'];4.590909090909091;11.0
Assembly type;['Server'];3.0;1.0
Assembly type;;4.0;7.0
Basic accessories;['Keyboard'];4.729411764705882;17.0
Basic accessories;['Magic Keyboard with Touch ID'];5.0;2.0
Basic accessories;['Magic Mouse 2', 'Magic Keyboard with Touch ID'];2.0;1.0
Basic accessories;['Mouse', 'Keyboard', 'Webcam'];4.615384615384615;13.0
Basic accessories;['Mouse', 'Keyboard'];4.371518987341772;158.0
Basic accessories;['Webcam'];4.333333333333333;6.0
Basic accessories;;4.48206572769953;1065.0
Basic equipment;['AMD Smart Access Memory'];5.0;2.0
Basic equipment;['Bluetooth', 'Memory Card Reader', 'Opticl drive', 'Wi-Fi', 'Speakers'];5.0;1.0
Basic equipment;['Bluetooth', 'Memory Card Reader', 'Touch display', 'Webcam', 'Wi-Fi', 'Speakers'];5.0;1.0
Basic equipment;['Bluetooth', 'Memory Card Reader', 'Touch display', 'Webcam', 'Wi-Fi'];3.0;2.0
Basic equipment;['Bluetooth', 'Memory Card Reader', 'Touch display', 'Wi-Fi', 'Speakers'];4.2;159.0
Basic equipment;['Bluetooth', 'Memory Card Reader', 'Webcam', 'Wi-Fi', 'Speakers'];1.0;2.0
Basic equipment;['Bluetooth', 'Memory Card Reader', 'Webcam', 'Wi-Fi'];3.8;25.0
Basic equipment;['Bluetooth', 'Memory Card Reader', 'Wi-Fi', 'Speakers'];4.0;4.0
Basic equipment;['Bluetooth', 'Memory Card Reader', 'Wi-Fi'];4.723691460055097;363.0
Basic equipment;['Bluetooth', 'Opticl drive', 'Wi-Fi'];4.5;2.0
Basic equipment;['Bluetooth', 'RGB backlight', 'Wi-Fi'];4.833333333333333;12.0
Basic equipment;['Bluetooth', 'Touch display', 'Webcam', 'Wi-Fi'];3.0;2.0
Basic equipment;['Bluetooth', 'Water cooling', 'RGB backlight', 'Wi-Fi', 'AMD Smart Access Memory'];5.0;2.0
Basic equipment;['Bluetooth', 'Water cooling', 'RGB backlight', 'Wi-Fi'];4.2;5.0
Basic equipment;['Bluetooth', 'Webcam', 'Wi-Fi', 'Speakers'];4.3;10.0
Basic equipment;['Bluetooth', 'Webcam', 'Wi-Fi'];2.0;1.0
Basic equipment;['Bluetooth', 'Webcam'];4.0;2.0
Basic equipment;['Bluetooth', 'Wi-Fi', 'AMD Smart Access Memory'];4.416666666666667;6.0
Basic equipment;['Bluetooth', 'Wi-Fi', 'Speakers'];4.8;15.0
Basic equipment;['Bluetooth', 'Wi-Fi'];4.493351063829787;376.0
Basic equipment;['Memory Card Reader', 'Wi-Fi'];5.0;7.0
Basic equipment;['Memory Card Reader'];4.666666666666667;3.0
Basic equipment;['Opticl drive'];3.0;3.0
Basic equipment;['RGB backlight'];4.82;10.0
Basic equipment;['Wi-Fi'];4.388;25.0
Basic equipment;;4.324774774774775;222.0
CPU Passmark;1968.0;3.0;2.0
CPU Passmark;1997.0;3.0;2.0
CPU Passmark;10075.0;4.9;8.0
CPU Passmark;11357.0;4.5;2.0
CPU Passmark;11830.0;5.0;1.0
CPU Passmark;12988.0;5.0;1.0
CPU Passmark;14364.0;5.0;1.0
CPU Passmark;17259.0;5.0;4.0
CPU Passmark;17294.0;4.0;1.0
CPU Passmark;17374.0;5.0;2.0
CPU Passmark;17773.0;4.9;13.0
CPU Passmark;19536.0;4.0;1.0
CPU Passmark;19563.0;5.0;1.0
CPU Passmark;19831.0;4.0;1.0
CPU Passmark;19833.0;5.0;1.0
CPU Passmark;19837.0;5.0;1.0
CPU Passmark;20341.0;5.0;1.0
CPU Passmark;;4.2;53.0
CPU Passmark;;5.0;5.0
CPU Passmark;;5.0;6.0
CPU Passmark;;4.7;3.0
CPU Passmark;;4.2;53.0
CPU Passmark;;5.0;2.0
CPU Passmark;;4.9;57.0
CPU Passmark;;4.2;53.0
CPU Passmark;;5.0;1.0
CPU Passmark;;4.9;96.0
CPU Passmark;;5.0;19.0
CPU Passmark;;4.9;57.0
CPU Passmark;;4.4;3.0
CPU Passmark;;4.8;8.0
CPU Passmark;;4.8;4.0
CPU Passmark;;5.0;2.0
CPU Passmark;;4.0;3.0
CPU Passmark;;4.9;57.0
CPU Passmark;;4.6;17.0
CPU Passmark;;5.0;4.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;3.0;2.0
CPU Passmark;;4.2;12.0
CPU Passmark;;3.7000000000000006;3.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;5.0
CPU Passmark;;4.0;1.0
CPU Passmark;;5.0;4.0
CPU Passmark;;5.0;6.0
CPU Passmark;;5.0;2.0
CPU Passmark;;5.0;1.0
CPU Passmark;;4.8;4.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;3.0
CPU Passmark;;5.0;1.0
CPU Passmark;;4.5;2.0
CPU Passmark;;5.0;2.0
CPU Passmark;;4.0;2.0
CPU Passmark;;5.0;1.0
CPU Passmark;;4.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;4.5;6.0
CPU Passmark;;5.0;2.0
CPU Passmark;;4.5;8.0
CPU Passmark;;4.1;10.0
CPU Passmark;;4.7;10.0
CPU Passmark;;5.0;2.0
CPU Passmark;;3.0;2.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;3.6;5.0
CPU Passmark;;5.0;1.0
CPU Passmark;;4.5;2.0
CPU Passmark;;5.0;1.0
CPU Passmark;;3.8;5.0
CPU Passmark;;4.0;4.0
CPU Passmark;;5.0;4.0
CPU Passmark;;5.0;2.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;2.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;4.0
CPU Passmark;;4.5;2.0
CPU Passmark;;5.0;6.0
CPU Passmark;;5.0;1.0
CPU Passmark;;3.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;2.0
CPU Passmark;;4.9;10.0
CPU Passmark;;3.4;5.0
CPU Passmark;;5.0;1.0
CPU Passmark;;4.0;1.0
CPU Passmark;;5.0;2.0
CPU Passmark;;3.0;2.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;2.0
CPU Passmark;;4.5;2.0
CPU Passmark;;5.0;1.0
CPU Passmark;;4.3;3.0
CPU Passmark;;3.0;2.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;2.0
CPU Passmark;;2.0;3.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;4.0;1.0
CPU Passmark;;4.0;1.0
CPU Passmark;;3.8;11.0
CPU Passmark;;4.0;3.0
CPU Passmark;;5.0;1.0
CPU Passmark;;4.0;1.0
CPU Passmark;;3.5;4.0
CPU Passmark;;1.0;1.0
CPU Passmark;;4.4;3.0
CPU Passmark;;1.0;1.0
CPU Passmark;;2.3;3.0
CPU Passmark;;1.0;1.0
CPU Passmark;;1.0;1.0
CPU Passmark;;1.0;1.0
CPU Passmark;;4.8;4.0
CPU Passmark;;4.9;8.0
CPU Passmark;;4.8;5.0
CPU Passmark;;5.0;2.0
CPU Passmark;;3.2999999999999994;3.0
CPU Passmark;;5.0;1.0
CPU Passmark;;3.4;5.0
CPU Passmark;;4.3;5.0
CPU Passmark;;5.0;1.0
CPU Passmark;;2.3;3.0
CPU Passmark;;1.0;1.0
CPU Passmark;;1.0;1.0
CPU Passmark;;4.2;5.0
CPU Passmark;;2.3;5.0
CPU Passmark;;5.0;1.0
CPU Passmark;;2.3;5.0
CPU Passmark;;4.5;2.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;3.7000000000000006;3.0
CPU Passmark;;4.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;1.0;1.0
CPU Passmark;;4.3;5.0
CPU Passmark;;5.0;1.0
CPU Passmark;;1.0;1.0
CPU Passmark;;4.0;2.0
CPU Passmark;;4.8;14.0
CPU Passmark;;4.8;14.0
CPU Passmark;;4.8;14.0
CPU Passmark;;5.0;17.0
CPU Passmark;;2.0;1.0
CPU Passmark;;5.0;3.0
CPU Passmark;;5.0;3.0
CPU Passmark;;4.8;5.0
CPU Passmark;;5.0;4.0
CPU Passmark;;3.9;17.0
CPU Passmark;;1.0;1.0
CPU Passmark;;3.5;6.0
CPU Passmark;;5.0;3.0
CPU Passmark;;3.0;6.0
CPU Passmark;;3.0;2.0
CPU Passmark;;3.9;7.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;2.0
CPU Passmark;;5.0;2.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;2.0
CPU Passmark;;5.0;1.0
CPU Passmark;;3.0;1.0
CPU Passmark;;5.0;1.0
CPU Passmark;;5.0;2.0
