id;name;Price [CZK];Price without VAT [CZK];Rating;rating_count;availability;"Display size [""]";Resolution;Panel type;Processor series;Processor model;Number of processor cores;Cache processor [MB];Core boost frequency [GHz];Max TDP [W];Size of operational RAM [GB];Memory type;Graphics card brand;Model graphics cards;Operating system;Storage Type;Storage capacity [GB];SSD capacity [GB];Internal interface;USB-C charging;Charging connector;Colour;Weight [kg];USB 3.2 Gen 2;USB-C;Graphical output ports;Width [mm];Maximum height [mm];Depth [mm];Height [mm];Package includes;Assembly type;Basic equipment;PSU [W];PC series;Processor frequency [GHz];Processor cache [MB];CPU features;Graphics card memory [GB];Number of stream processors;Special graphics card features;Socket;Slots for additional cards;"Number of occupied slots 2.5""";"Slots in total 2.5""";"Number of occupied slots 3.5""";"Slots in total 3.5""";Number of occupied slots M.2;Slots in total M.2;Wardrobe size;Front panel location;Sidewalls;Side panel material;Memory frequency [MHz];Maximum RAM capacity [GB];Total number of slots;Number of installed slots;USB 2.0;USB 3.2 Gen 1 (USB 3.0);Other;Optical drive;Country;Extended warranty;USB 3.2 Gen 2x2;Maximum Graphic Power (TGP) [W];Basic accessories;Certification;WiFi type;GPU Passmark;CPU Passmark;Number of free slots;LHR (Lite Hash Rate);HDD RPM Rate [RPM];HDD capacity [GB];"Disk size [""]"
0;ASUS ROG Ally (AMD Z1 Extreme);16990;14041;4.2;53.0;In stock;7.0;1920 × 1080 px;IPS;AMD Ryzen;AMD Ryzen Z1 Extreme Processor;8.0;24.0;5.1;30.0;16.0;LPDDR5;AMD Radeon;Graphics;['Windows 11 Home'];['SSD'];512.0;512.0;['M.2 (PCIe 4.0 4x NVMe)'];Can be charged via USB-C;USB-C;['White'];0.61;1.0;1.0;USB-C, DisplayPort 1.4;280.0;110.0;32.0;110.0;['Power adapter'];['Gaming'];['Bluetooth', 'Memory Card Reader', 'Touch display', 'Wi-Fi', 'Speakers'];65.0;ASUS ROG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;HAL3000 Master Gamer 4060 Ti;33990;28091;5.0;5.0;In stock > 5 pcs;;;;Intel Core i5;Intel Core i5 13400F Raptor Lake;10.0;;4.6;148.0;32.0;DDR4;NVIDIA GeForce;RTX 4060 Ti;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;2.0;1.0;HDMI, DisplayPort;210.0;;421.0;499.0;;['Gaming'];['Bluetooth', 'RGB backlight', 'Wi-Fi'];600.0;Master Gamer;2.5;20.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];8.0;4352.0;GeForce VR-Ready;Intel LGA1700;['PCI Express x16'];0.0;5.0;0.0;2.0;1.0;2.0;Midi Tower;Top;Transparent;Tempered glass;3200.0;128.0;4.0;2.0;4.0;2.0;['7.1 Channel Audio(3 ports)', 'RJ-45 (LAN) 2.5Gbps', 'S/PDIF optical output', 'Headphone/Speaker output'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['Extended Warranty'];;;;;;;;;;;;
2;Mac mini M2 PRO 2023;35990;29744;5.0;6.0;In stock > 5 pcs;;;;Apple Silicon;Apple M2 Pro (10-core);10.0;;;;16.0;;Apple;M2 PRO 16-core GPU;['macOS'];['SSD'];;512.0;;;;;;;4.0;HDMI, USB-C, Thunderbolt 4;197.0;;197.0;35.8;;['Mini PC'];['Bluetooth', 'Wi-Fi'];;Apple Mac Mini;;;;;;;;;;;;;;;Micro Tower;;;;;;;;;;;Without Optical Drive;;;;;;;;;;;;;;
3;Alza BattleBox Raptor i7 RTX4070Ti;53990;44620;4.7;3.0;In stock > 5 pcs;;;;Intel Core i7;Intel Core i7 13700KF Rocket Lake;16.0;;5.4;253.0;32.0;DDR4;NVIDIA GeForce;RTX 4070 Ti;['Windows 11 Pro'];['SSD'];2000.0;2000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;1.0;1.0;HDMI 2.1, DisplayPort 1.4;230.0;;480.0;505.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];850.0;Alza Battlebox;3.4;30.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];12.0;7680.0;Nvidia DLSS 3.0;Intel LGA1700;;;;;;1.0;3.0;Midi Tower;Top;Transparent;Tempered glass;3600.0;;4.0;2.0;1.0;3.0;['RJ-45 (LAN) 2.5Gbps', 'Jack', 'S/PDIF'];Without Optical Drive;;;1.0;;;;;;;;;;;
4;ASUS ROG Ally (AMD Z1);13990;11562;4.2;53.0;In stock > 5 pcs;7.0;1920 × 1080 px;IPS;AMD Ryzen;;6.0;22.0;4.9;30.0;16.0;LPDDR5;AMD Radeon;Graphics;['Windows 11 Home'];['SSD'];512.0;512.0;['M.2 (PCIe 4.0 4x NVMe)'];;;['White'];0.61;1.0;1.0;USB-C, DisplayPort 1.4;280.0;3.2;111.0;110.0;;['Gaming'];['Bluetooth', 'Memory Card Reader', 'Touch display', 'Wi-Fi', 'Speakers'];65.0;ASUS ROG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Victus by HP 15L Gaming TG02-1901nc Black;20990;17347;5.0;2.0;In stock;;;;Intel Core i5;Intel Core i5 13400F Raptor Lake;10.0;;4.6;;16.0;DDR4;NVIDIA GeForce;RTX 3050;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (NVMe)'];;;;;2.0;1.0;VGA D-SUB, HDMI;155.0;;297.3;337.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];350.0;;2.5;20.0;['Automatic Overclocking'];8.0;;;;;;;;;;;Big Tower;;;;3200.0;32.0;2.0;2.0;4.0;2.0;['Combo Audio Jack', 'Kensington lock', 'Microphone input', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;1.0;170.0;['Mouse', 'Keyboard'];['Windows 11 compatible'];;;;;;;;
6;Raspberry Pi 4 Model B - 4GB RAM;2790;2306;4.9;57.0;In stock > 5 pcs;;;;ARMv8;Broadcom BCM2711;4.0;;;;4.0;LPDDR4;;;['Without Operating System'];;;;;;;;;;1.0;;;;;;;['Mini PC'];['Bluetooth', 'Memory Card Reader', 'Wi-Fi'];;;1.5;;;;;;;;;;;;;;;;;;;;;;2.0;2.0;['MicroHDMI', 'Headphone/Speaker output', 'DSI', 'CSI'];Without Optical Drive;;;;;;;;;;;;;;
7;Dune HD Ultra 4K;41325;34153;;;Unsealed;;;;;;;;;;2.0;;;;['Google Android'];['Flash'];16000.0;;;;;['Black'];;;1.0;HDMI, USB-C, HDMI 2.0b;430.0;;310.0;72.0;['Remote control', 'Power adapter'];['Performance'];['Bluetooth', 'Wi-Fi'];;;;;;;;;;;;;;;;;;;;;;;;;2.0;;['LAN', 'S/PDIF optical output', 'USB-C'];;;;;;['Remote Control'];;;;;;;;;
8;ASUS ROG Ally (AMD Z1 Extreme);12715;10508;4.2;53.0;As good as new;7.0;1920 × 1080 px;IPS;AMD Ryzen;AMD Ryzen Z1 Extreme Processor;8.0;;5.1;30.0;16.0;LPDDR5;AMD Radeon;Graphics;['Windows 11 Home'];['SSD'];512.0;512.0;['M.2 (PCIe 4.0 4x NVMe)'];Can be charged via USB-C;USB-C;['White'];0.61;1.0;1.0;USB-C, DisplayPort 1.4;280.0;110.0;32.0;110.0;['Power adapter'];['Gaming'];['Bluetooth', 'Memory Card Reader', 'Touch display', 'Wi-Fi', 'Speakers'];65.0;ASUS ROG;;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Acer Predator Orion 3000 PO3-640;24990;20653;5.0;1.0;In stock;;;;Intel Core i5;Intel Core i5 12400F Alder Lake;12.0;7.5;4.4;65.0;16.0;;NVIDIA GeForce;RTX 3060 Ti;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (NVMe)'];;;;;1.0;1.0;HDMI, DisplayPort, USB-C;175.0;;377.0;385.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];500.0;Acer Predator;2.1;;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];8.0;;GeForce VR-Ready;;['PCI Express x16', 'M.2'];;;;;;;Midi Tower;Front;Transparent;;;64.0;4.0;2.0;4.0;2.0;;Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Mouse', 'Keyboard'];['Windows 11 compatible'];;;;;;;;
