attribute;value;rating;rating_count
AMD processor generation;Zen 2 (4th generation);4.6899999999999995;90.0
AMD processor generation;Zen 3 (5th generation);4.4205;200.0
AMD processor generation;Zen 3+ (6th generation);4.584615384615384;65.0
AMD processor generation;Zen 4 (7th generation);4.0;20.0
AMD processor generation;Zen+ (3rd generation);4.3;3.0
AMD processor generation;;4.5734280639431635;2815.0
Aspect Ratio;15:9;3.7000000000000006;3.0
Aspect Ratio;16:10;4.734461009174311;1744.0
Aspect Ratio;16:9;4.354361932227828;1387.0
Aspect Ratio;3:2;4.302564102564103;39.0
Aspect Ratio;;4.8;20.0
Audio;['Combo Audio Jack', 'Microphone input'];3.0250000000000004;4.0
Audio;['Combo Audio Jack'];4.5179015415216295;2011.0
Audio;['Headphone input', 'Microphone input'];4.345578231292516;147.0
Audio;['Headphone input'];4.30958904109589;146.0
Audio;;4.752203389830506;885.0
Battery capacity [Wh];26.8;4.88;10.0
Battery capacity [Wh];27.0;4.2625;8.0
Battery capacity [Wh];30.0;3.898591549295775;71.0
Battery capacity [Wh];35.6;4.142857142857143;7.0
Battery capacity [Wh];36.0;3.989655172413794;29.0
Battery capacity [Wh];37.0;1.0;1.0
Battery capacity [Wh];38.0;4.323880597014925;67.0
Battery capacity [Wh];39.0;5.0;4.0
Battery capacity [Wh];39.3;4.25;8.0
Battery capacity [Wh];40.0;4.2625;16.0
Battery capacity [Wh];41.0;4.44086956521739;115.0
Battery capacity [Wh];42.0;4.299999999999999;158.0
Battery capacity [Wh];43.0;4.0;1.0
Battery capacity [Wh];45.0;4.603478260869565;115.0
Battery capacity [Wh];47.0;4.621428571428572;28.0
Battery capacity [Wh];47.7;4.25;12.0
Battery capacity [Wh];48.0;4.411926605504587;109.0
Battery capacity [Wh];48.96;5.0;1.0
Battery capacity [Wh];49.9;5.0;33.0
Battery capacity [Wh];50.0;4.829204693611473;767.0
Battery capacity [Wh];50.3;4.5;8.0
Battery capacity [Wh];51.0;3.935294117647059;17.0
Battery capacity [Wh];52.0;4.5;2.0
Battery capacity [Wh];52.4;3.3333333333333335;3.0
Battery capacity [Wh];52.5;4.661538461538462;26.0
Battery capacity [Wh];52.6;5.0;9.0
Battery capacity [Wh];53.0;4.721794871794873;156.0
Battery capacity [Wh];53.5;4.470149253731344;67.0
