attribute;value;rating;rating_count
Display resolution;1080 × 2340 px;4.9;141.0
Display resolution;1080 × 540 px;4.7;19.0
Display resolution;1170 × 480 px;4.3;32.0
Display resolution;1200 × 540 px;3.5;12.0
Display resolution;128 × 64 px;4.5;64.0
Display resolution;1280 × 720 px;4.4884615384615385;52.0
Display resolution;1334 × 750 px;4.789075018208304;1373.0
Display resolution;1440 × 720 px;4.032432432432433;111.0
Display resolution;1480 × 720 px;4.7;32.0
Display resolution;1520 × 720 px;3.864383561643836;73.0
Display resolution;1560 × 720 px;3.7396039603960394;101.0
Display resolution;160 × 120 px;4.0249999999999995;88.0
Display resolution;160 × 128 px;4.196540362438221;607.0
Display resolution;1600 × 720 px;4.293327154772938;1079.0
Display resolution;1612 × 720 px;4.532291666666667;96.0
Display resolution;1650 × 720 px;4.387460815047023;319.0
Display resolution;1792 × 828 px;4.9;4770.0
Display resolution;2040 × 1080 px;4.415286624203822;157.0
Display resolution;2160x1080 px;4.8;5.0
Display resolution;2176 × 1812 px;4.754716981132075;159.0
Display resolution;220 × 176 px;4.5;444.0
Display resolution;220x176 px;4.43930155210643;1804.0
Display resolution;2268 × 2440 px;5.0;6.0
Display resolution;2300 × 1080 px;3.5;14.0
Display resolution;2340 x 1080 px;4.7;2020.0
Display resolution;2340x1080 px;4.754742647058824;2720.0
Display resolution;2376 × 1080 px;4.019565217391304;46.0
Display resolution;2388 × 1080 px;4.598333333333333;120.0
Display resolution;2400 × 1080 px;4.579962170469323;8459.0
Display resolution;2404 × 1080 px;4.7299999999999995;40.0
Display resolution;2408 × 1080 px;4.5017006802721085;1764.0
Display resolution;2412 × 1080 px;4.743243243243243;185.0
Display resolution;2436 × 1125 px;3.0;2.0
Display resolution;2448 × 1080 px;4.548684210526315;152.0
Display resolution;2460 × 1080 px;4.327814569536423;151.0
Display resolution;2480 × 1116 px;5.0;4.0
Display resolution;2520 × 1080 px;4.514444444444445;270.0
Display resolution;2532 × 1170 px;4.820347569955817;16975.0
Display resolution;2556 × 1179 px;4.803045066991474;3284.0
Display resolution;2616 × 1212 px;3.5;12.0
Display resolution;2640 × 1080 px;4.45311778290993;433.0
Display resolution;2664 × 1200 px;4.8;92.0
Display resolution;2712 × 1220 px;4.897776130467013;1349.0
Display resolution;2772 × 1240 px;4.7;356.0
Display resolution;2778 × 1284 px;4.848668885191347;2404.0
Display resolution;2796 × 1290 px;4.847777777777778;1080.0
Display resolution;2800 × 1260 px;4.766666666666667;18.0
Display resolution;2848 × 1312 px;4.5636363636363635;88.0
Display resolution;2992 × 1344 px;4.8;40.0
Display resolution;3040 × 1440 px;4.9;114.0
Display resolution;3088 × 1440 px;4.870534069981584;2172.0
Display resolution;3120 × 1440 px;4.159776536312849;179.0
Display resolution;3168 × 1440 px;4.6;56.0
Display resolution;320 × 240 px;4.4050149950016655;6002.0
Display resolution;3200 × 1440 px;4.82;290.0
Display resolution;3216 × 1440 px;4.3640625;192.0
Display resolution;3840 × 1644 px;4.603809523809524;105.0
Display resolution;480 × 320 px;4.0;330.0
Display resolution;960 × 480 px;4.286021505376344;93.0
Operating system;['Android'];4.616762035881771;23243.0
Operating system;['KaiOS'];3.7999999999999994;72.0
Operating system;['Nokia Series 30+'];4.275786163522013;318.0
Operating system;['Series 30+'];4.4;217.0
Operating system;['Without Operating System'];4.392368330857992;8753.0
Operating system;['iOS'];4.83213187675803;30574.0
Configure cards;['Dual SIM', 'eSIM'];4.81122309997276;3671.0
Configure cards;['Dual SIM', 'memory card'];4.399332061068702;6288.0
Configure cards;['Dual SIM'];4.560007371913011;8139.0
