attribute;value;rating;rating_count
Battery capacity [mAh];2580.0;3.7124999999999995;8.0
Battery capacity [mAh];3500.0;3.5;21.0
Battery capacity [mAh];3550.0;3.8;5.0
Battery capacity [mAh];4000.0;2.890909090909091;22.0
Battery capacity [mAh];4080.0;3.4;12.0
Battery capacity [mAh];4870.0;2.0;1.0
Battery capacity [mAh];5000.0;4.0815789473684205;76.0
Battery capacity [mAh];5060.0;3.3333333333333335;3.0
Battery capacity [mAh];5100.0;4.632244897959184;245.0
Battery capacity [mAh];5124.0;4.889285714285714;56.0
Battery capacity [mAh];5150.0;4.0;2.0
Battery capacity [mAh];5500.0;5.0;4.0
Battery capacity [mAh];5580.0;3.875;8.0
Battery capacity [mAh];6000.0;4.131578947368421;95.0
Battery capacity [mAh];6580.0;4.206569343065693;137.0
Battery capacity [mAh];6600.0;3.6;5.0
Battery capacity [mAh];7000.0;4.3;10.0
Battery capacity [mAh];7040.0;4.7523560209424085;191.0
Battery capacity [mAh];7250.0;4.556521739130435;23.0
Battery capacity [mAh];7280.0;1.0;1.0
Battery capacity [mAh];7500.0;4.257627118644067;59.0
Battery capacity [mAh];7600.0;3.0;1.0
Battery capacity [mAh];7650.0;4.4;5.0
Battery capacity [mAh];7667.560321715818;4.8812500000000005;48.0
Battery capacity [mAh];7680.0;4.675;40.0
Battery capacity [mAh];7700.0;4.601307189542484;153.0
Battery capacity [mAh];8000.0;4.496428571428571;56.0
Battery capacity [mAh];8280.0;5.0;1.0
Battery capacity [mAh];8300.0;4.3500000000000005;24.0
Battery capacity [mAh];8400.0;4.788888888888888;18.0
Battery capacity [mAh];8580.0;5.0;8.0
Battery capacity [mAh];8686.327077747988;4.504545454545454;22.0
Battery capacity [mAh];8840.0;4.8;70.0
Battery capacity [mAh];10000.0;4.0;11.0
Battery capacity [mAh];10090.0;4.574193548387097;62.0
Battery capacity [mAh];10200.0;4.433333333333334;15.0
Battery capacity [mAh];10600.0;5.0;1.0
Battery capacity [mAh];10758.0;5.0;2.0
Battery capacity [mAh];11200.0;5.0;6.0
Battery capacity [mAh];13000.0;5.0;1.0
Battery capacity [mAh];;5.0;38.0
Battery capacity [mAh];;5.0;5.0
Battery capacity [mAh];;4.9;142.0
Battery capacity [mAh];;4.9;62.0
Battery capacity [mAh];;4.7;20.0
Battery capacity [mAh];;4.9;36.0
Battery capacity [mAh];;5.0;21.0
Battery capacity [mAh];;4.8;22.0
Battery capacity [mAh];;4.8;33.0
Battery capacity [mAh];;4.9;11.0
Battery capacity [mAh];;4.9;39.0
Battery capacity [mAh];;4.9;15.0
Battery capacity [mAh];;5.0;9.0
Battery capacity [mAh];;5.0;11.0
Battery capacity [mAh];;4.7;10.0
Battery capacity [mAh];;4.9;8.0
Battery capacity [mAh];;5.0;5.0
Battery capacity [mAh];;5.0;3.0
Battery capacity [mAh];;5.0;6.0
Battery capacity [mAh];;5.0;3.0
Battery capacity [mAh];;5.0;5.0
Battery capacity [mAh];;5.0;2.0
Battery capacity [mAh];;5.0;4.0
Battery capacity [mAh];;5.0;4.0
Battery capacity [mAh];;5.0;7.0
Battery capacity [mAh];;5.0;2.0
Battery capacity [mAh];;5.0;2.0
Battery capacity [mAh];;5.0;3.0
Battery capacity [mAh];;4.3;5.0
Battery capacity [mAh];;4.9;7.0
Battery capacity [mAh];;5.0;3.0
Battery capacity [mAh];;5.0;1.0
Battery capacity [mAh];;5.0;2.0
Battery capacity [mAh];;5.0;2.0
Battery capacity [mAh];;5.0;3.0
Battery capacity [mAh];;5.0;1.0
Battery capacity [mAh];;5.0;1.0
Battery capacity [mAh];;5.0;2.0
Battery capacity [mAh];;5.0;4.0
Battery capacity [mAh];;5.0;2.0
Battery capacity [mAh];;5.0;1.0
Battery capacity [mAh];;5.0;2.0
Battery capacity [mAh];;5.0;5.0
Battery capacity [mAh];;5.0;2.0
Battery capacity [mAh];;4.7;11.0
Battery capacity [mAh];;5.0;8.0
Battery capacity [mAh];;4.7;40.0
Battery capacity [mAh];;4.5;2.0
Battery capacity [mAh];;3.8;4.0
Battery capacity [mAh];;5.0;8.0
Battery capacity [mAh];;4.7;11.0
Battery capacity [mAh];;5.0;24.0
Camera functions;['Flash function'];4.634813248766736;1419.0
Camera functions;['Optical zoom', 'Flash function'];4.924324324324324;37.0
Camera functions;['Optical zoom'];4.666666666666667;3.0
Camera functions;['Swivel Camera'];4.5200000000000005;20.0
Camera functions;;4.504945054945053;728.0
Charging performance [W];5.0;3.875;8.0
Charging performance [W];10.0;4.382758620689655;203.0
Charging performance [W];15.0;4.702310231023103;303.0
Charging performance [W];18.0;4.212068965517242;58.0
Charging performance [W];20.0;4.874157303370787;267.0
Charging performance [W];22.5;4.7;12.0
Charging performance [W];27.0;5.0;8.0
Charging performance [W];30.0;4.5;11.0
Charging performance [W];33.0;4.802816901408451;71.0
Charging performance [W];45.0;4.624369747899159;119.0
Charging performance [W];;4.9;142.0
Charging performance [W];;4.9;62.0
Charging performance [W];;4.9;13.0
Charging performance [W];;4.7;20.0
Charging performance [W];;4.7;31.0
Charging performance [W];;4.6;15.0
Charging performance [W];;5.0;21.0
Charging performance [W];;4.9;13.0
Charging performance [W];;4.8;33.0
Charging performance [W];;4.9;11.0
Charging performance [W];;4.9;39.0
Charging performance [W];;4.9;15.0
Charging performance [W];;3.9000000000000004;18.0
Charging performance [W];;5.0;9.0
Charging performance [W];;5.0;11.0
Charging performance [W];;4.9;16.0
Charging performance [W];;4.9;8.0
Charging performance [W];;4.4;18.0
Charging performance [W];;5.0;6.0
Charging performance [W];;5.0;4.0
Charging performance [W];;3.5;21.0
Charging performance [W];;5.0;5.0
Charging performance [W];;3.8;5.0
Charging performance [W];;4.4;11.0
Charging performance [W];;4.2;21.0
Charging performance [W];;4.4;12.0
Charging performance [W];;5.0;4.0
Charging performance [W];;4.6;9.0
Charging performance [W];;4.9;8.0
Charging performance [W];;5.0;10.0
Charging performance [W];;4.9;10.0
Charging performance [W];;4.0;11.0
Charging performance [W];;3.6;12.0
Charging performance [W];;4.3;7.0
Charging performance [W];;4.0;14.0
Charging performance [W];;4.0;4.0
Charging performance [W];;5.0;4.0
Charging performance [W];;5.0;3.0
Charging performance [W];;4.5;10.0
Charging performance [W];;5.0;2.0
Charging performance [W];;5.0;3.0
Charging performance [W];;5.0;1.0
Charging performance [W];;4.0;3.0
Charging performance [W];;3.4;12.0
Charging performance [W];;4.2;37.0
Charging performance [W];;4.8;4.0
Charging performance [W];;5.0;3.0
Charging performance [W];;3.0;1.0
Charging performance [W];;4.3;5.0
Charging performance [W];;4.9;7.0
Charging performance [W];;3.7000000000000006;3.0
Charging performance [W];;4.0;12.0
Charging performance [W];;4.3;14.0
Charging performance [W];;5.0;1.0
Charging performance [W];;3.4;14.0
Charging performance [W];;3.7999999999999994;6.0
Charging performance [W];;5.0;2.0
Charging performance [W];;3.8;8.0
Charging performance [W];;5.0;2.0
Charging performance [W];;5.0;1.0
Charging performance [W];;3.0;1.0
Charging performance [W];;4.0;1.0
Charging performance [W];;2.8;5.0
Charging performance [W];;5.0;2.0
