id;name;Price [CZK];Price without VAT [CZK];Rating;rating_count;availability;"Display size [""]";Resolution;Display technology;Screen fineness [PPI];Computer memory (RAM) size [GB];Storage Capacity [GB];Memory card type;Max. memory card size [GB];Wireless technology;Tablet connectors;Sensors;Main (rear) camera resolution [Mpx];Front-facing (selfie) camera resolution [Mpx];Maximum video resolution;Supported resolutions and frame rates (FPS);Camera functions;Battery capacity [mAh];Charging performance [W];Number of processor cores;Processor frequency [GHz];Processor model;Functions;Operating system;Operating system version;Height [mm];Width [mm];Depth [mm];Weight [kg];Colour;Package includes;Series;Country;Storage capacity [GB];Main rear camera aperture [f/];Front Camera Aperture [f/];Degree of protection;Graphics chip;Supported cellular networks;Primary SIM card type;Secondary SIM Card Type;Special event;Supported formats;User interface language;Equipment;Internal memory [GB];Suitable for;Usage;Must additionally purchase AA batteries;Battery type
0;Samsung Galaxy Tab S6 Lite WiFi Grey 2022;6990;5777;4.7;27.0;In stock;10.4;2000 × 1200 px;['TFT'];224.0;4.0;64.0;['Micro SD'];1.024;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Gyroscope'];8.0;5.0;1920 × 1080 px;['1080p (Full HD) 30fps'];['Flash function'];7.04;15.0;8.0;2.3;Snapdragon 720G;['Quick charging'];['Google Android'];Android 12;244.5;154.3;7.0;0.465;['Grey'];['Charger (adapter with cable)'];Samsung Galaxy Tab S;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;;;;;;;;;;;;
1;iPad Air M1 64GB WiFi Space Grey 2022;17990;14868;5.0;38.0;In stock > 5 pcs;10.9;2360 × 1640 px;['IPS'];264.0;8.0;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Gyroscope', 'Light sensor', 'Barometer'];12.0;12.0;3840 × 2160 px;['4320p (8K) 30fps', '2160p (4K) 60fps', '2160p (4K) 24fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps'];['Flash function'];;20.0;;;Apple M1 with 8-core GPU;['Quick charge'];['iPadOS'];;247.6;178.5;6.1;0.458;['Grey'];['Charger (adapter with cable)'];Apple iPad;;64.0;1.8;2.4;;;;;;;;;;;;;;
2;iPad Air M1 256GB WiFi Pink 2022;22490;18587;4.7;12.0;In stock > 5 pcs;10.9;2360 × 1640 px;['IPS'];264.0;8.0;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Gyroscope', 'Light sensor', 'Barometer'];12.0;12.0;3840 × 2160 px;['4320p (8K) 30fps', '2160p (4K) 60fps', '2160p (4K) 24fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps'];['Flash function'];7667.560321715818;20.0;;;Apple M1 with 8-core GPU;['Quick charge'];['iPadOS'];;247.6;178.5;6.1;0.458;['Pink'];['Charger (adapter with cable)'];Apple iPad;;256.0;1.8;2.4;;;;;;;;;;;;;;
3;"iPad Pro 12.9"" 256GB M2 Space Grey 2022";35990;29744;5.0;5.0;In stock > 5 pcs;12.9;2732 × 2048 px;['IPS'];264.0;;;['Does not support'];;['NFC', 'WiFi', 'Bluetooth'];['USB-C'];['Gyroscope', 'Light sensor', 'Barometer'];12.0;12.0;3840 × 2160 px;['4320p (8K) 30fps', '2160p (4K) 60fps', '2160p (4K) 24fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps'];['Flash function'];;20.0;8.0;;Apple M2 with 10-core GPU;['Quick charge'];['iPadOS'];;214.9;280.6;6.4;0.682;['Grey'];['Charger (adapter with cable)'];Apple iPad;;256.0;1.8;2.4;;;;;;;;;;;;;;
4;UleFone Armor Pad Lite 6GB/32GB černý;3699;3057;;;In stock > 5 pcs;8.0;1280 × 800 px;['IPS'];188.0;6.0;32.0;;;['NFC', 'WiFi', 'Bluetooth', 'GPS', 'GLONASS'];['USB-C', 'Headphone output (3.5mm jack)'];['Fingerprint reader'];13.0;5.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 30fps'];['Flash function'];7.65;;4.0;2.0;MediaTek MT8766;['Water-resistant'];['Google Android'];Android 13;213.0;128.8;14.0;0.558;['Black'];['Charger (adapter with cable)'];;;;;2.0;['IP68', 'IP69K'];;;;;;;;;;;;;
5;iPad 10.2 64GB WiFi Space Grey 2021;8990;7430;4.9;142.0;In stock > 5 pcs;10.2;2160 × 1620 px;['IPS'];264.0;3.0;64.0;;;['WiFi', 'Bluetooth'];['Lightning', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Gyroscope'];8.0;12.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 120fps'];['Flash function'];;;;;Apple A13 Bionic;;['iPadOS'];;174.1;250.6;7.5;0.49;['Grey'];['Charger (adapter with cable)'];Apple iPad;;;2.4;2.4;;;;;;;;;;;;;;
6;iPad 10.2 64GB WiFi Silver 2021;8990;7430;4.9;62.0;In stock > 5 pcs;10.2;2160 × 1620 px;['IPS'];264.0;;64.0;;;['WiFi', 'Bluetooth'];['Lightning', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Gyroscope'];8.0;12.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 120fps'];['Flash function'];;;;;Apple A13 Bionic;;['iPadOS'];;174.1;250.6;7.5;0.49;['Silver'];['Charger (adapter with cable)'];Apple iPad;;;2.4;2.4;;;;;;;;;;;;;;
7;Xiaomi Pad 6 6GB/128GB Gravity Gray;7990;6603;4.8;70.0;In stock;11.0;;['IPS'];309.0;6.0;;;;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Gyroscope'];13.0;8.0;1800 × 2880 px;['2160p (4K) 30fps', '1080p (Full HD) 60fps'];;8840.0;33.0;8.0;;Qualcomm Snapdragon 870;['Quick charge'];['Google Android'];Android 13;254.0;165.2;6.5;0.49;['Grey'];['Charger (adapter with cable)'];;;128.0;2.2;2.2;;Adreno 650;;;;;;;;;;;;
8;HONOR Pad X8 4GB/64GB modrý;3390;2802;4.9;13.0;In stock;10.1;1920 × 1200 px;['IPS'];224.0;4.0;64.0;['Micro SD'];512.0;['WiFi', 'Bluetooth'];['USB-C'];['Light sensor', 'G-sensor'];5.0;2.0;1920 × 1080 px;;;5.1;;8.0;2.2;MediaTek MT8786;['OTG'];['Google Android'];Android 12;240.2;159.0;7.55;0.46;['Blue'];['Charger (adapter with cable)'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;2.2;2.4;;Mali-G52;;;;;;;;;;;;
9;"iPad 10.9"" 64GB WiFi Silver 2022";12990;10736;4.7;20.0;In stock > 5 pcs;10.9;2360 × 1640 px;['IPS'];264.0;4.0;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Gyroscope'];12.0;12.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 120fps'];['Flash function'];;;;;Apple A14 Bionic;;['iPadOS'];;248.6;179.5;7.0;0.477;['Silver'];['Charger (adapter with cable)'];Apple iPad;;64.0;2.4;2.4;;;;;;;;;;;;;;
