attribute;value;rating;rating_count
Resolution;1024 × 600 px;3.7124999999999995;8.0
Resolution;1200 × 2000 px;4.530434782608696;23.0
Resolution;1200 × 800 px;3.9;10.0
Resolution;1280 × 800 px;3.8473214285714286;224.0
Resolution;1340 × 800 px;4.598136645962733;161.0
Resolution;1872 × 1404 px;3.8;5.0
Resolution;1920 × 1080 px;;0.0
Resolution;1920 × 1200 px;4.522627737226277;411.0
Resolution;2000 × 1200 px;4.540591397849462;372.0
Resolution;2048 × 1536 px;5.0;2.0
Resolution;2160 × 1620 px;4.870588235294118;289.0
Resolution;2224 × 1668 px;5.0;11.0
Resolution;2266 × 1488 px;4.889285714285714;56.0
Resolution;2304 × 1440 px;4.555555555555555;9.0
Resolution;2360 × 1640 px;4.8766917293233085;266.0
Resolution;2388 × 1668 px;4.971212121212122;66.0
Resolution;2560 × 1536 px;4.2;21.0
Resolution;2560 × 1600 px;4.619327731092437;119.0
Resolution;2732 × 2048 px;5.0;31.0
Resolution;2800 × 1752 px;5.0;34.0
Resolution;2944 × 1840 px;4.5;11.0
Resolution;2960 × 1848 px;5.0;6.0
Resolution;3000x1876 px;;0.0
Display technology;['AMOLED'];4.832558139534884;86.0
Display technology;['E-ink'];3.8;5.0
Display technology;['IPS', 'TFT'];5.0;3.0
Display technology;['IPS'];4.583290978398984;1574.0
Display technology;['LTPS'];4.5;11.0
Display technology;['Liquid Retina XDR'];;0.0
Display technology;['Liquid Retina'];;0.0
Display technology;['OLED'];4.2;21.0
Display technology;['Retina'];5.0;10.0
Display technology;['TFT'];4.619565217391305;460.0
Display technology;['TN'];1.0;1.0
Screen fineness [PPI];149.0;3.7625;88.0
Screen fineness [PPI];149.45;;0.0
Screen fineness [PPI];149.5;4.4;8.0
Screen fineness [PPI];179.0;4.633944954128441;109.0
Screen fineness [PPI];188.0;4.4;5.0
Screen fineness [PPI];189.0;3.9;10.0
Screen fineness [PPI];195.0;4.4;11.0
Screen fineness [PPI];203.0;4.7;12.0
Screen fineness [PPI];212.0;4.7;39.0
Screen fineness [PPI];213.0;;0.0
Screen fineness [PPI];215.0;5.0;1.0
Screen fineness [PPI];216.0;4.776785714285714;112.0
Screen fineness [PPI];217.0;;0.0
